,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateful_cpu,simple-stateful_memory,simple-stateful-migration-12_cpu,simple-stateful-migration-12_memory
Sat Feb 11 13:01:04 2023,0.376102,233939573n,2124640Ki,119142311n,1336828Ki,59814176n,1048592Ki,166737071n,1416308Ki,33963011n,1078992Ki,45028626n,1222732Ki,,,,
Sat Feb 11 13:01:06 2023,0.4009,,,,,,,,,,,,,,,,
Sat Feb 11 13:01:08 2023,0.487362,233939573n,2124640Ki,119142311n,1336828Ki,59814176n,1048592Ki,166737071n,1416308Ki,33963011n,1078992Ki,45028626n,1222732Ki,,,,
Sat Feb 11 13:01:10 2023,0.359988,,,,,,,,,,,,,,,,
Sat Feb 11 13:01:12 2023,0.327563,233939573n,2124640Ki,119142311n,1336828Ki,59814176n,1048592Ki,166737071n,1416308Ki,33963011n,1078992Ki,45028626n,1222732Ki,,,,
Sat Feb 11 13:01:14 2023,0.352423,,,,,,,,,,,,,,,,
Sat Feb 11 13:01:16 2023,0.391079,189152049n,2124608Ki,40993923n,1332756Ki,37821992n,1048588Ki,184184965n,1416728Ki,34309054n,1079048Ki,41995735n,1222728Ki,17743343n,19996Ki,,
Sat Feb 11 13:01:18 2023,0.403381,,,,,,,,,,,,,,,,
Sat Feb 11 13:01:20 2023,0.396923,189152049n,2124608Ki,40993923n,1332756Ki,37821992n,1048588Ki,184184965n,1416728Ki,34309054n,1079048Ki,41995735n,1222728Ki,17743343n,19996Ki,,
Sat Feb 11 13:01:22 2023,0.367914,,,,,,,,,,,,,,,,
Sat Feb 11 13:01:24 2023,0.391994,189152049n,2124608Ki,40993923n,1332756Ki,37821992n,1048588Ki,184184965n,1416728Ki,34309054n,1079048Ki,41995735n,1222728Ki,17743343n,19996Ki,,
Sat Feb 11 13:01:26 2023,0.454584,,,,,,,,,,,,,,,,
Sat Feb 11 13:01:28 2023,0.439399,215901392n,2125092Ki,37002363n,1332812Ki,45558481n,1048180Ki,220915933n,1416380Ki,33277768n,1079048Ki,43586544n,1222992Ki,1842784n,20496Ki,,
Sat Feb 11 13:01:30 2023,0.471724,,,,,,,,,,,,,,,,
Sat Feb 11 13:01:32 2023,0.3932,215901392n,2125092Ki,37002363n,1332812Ki,45558481n,1048180Ki,220915933n,1416380Ki,33277768n,1079048Ki,43586544n,1222992Ki,1842784n,20496Ki,,
