,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateful_cpu,simple-stateful_memory
Sat Feb 11 12:04:59 2023,0.216969,200369986n,1832572Ki,51401034n,1332152Ki,43070380n,1243528Ki,170883192n,1401628Ki,37357604n,1077568Ki,41924794n,1222036Ki,100676n,20172Ki
Sat Feb 11 12:05:02 2023,0.385352,,,,,,,,,,,,,,
Sat Feb 11 12:05:04 2023,0.235363,200369986n,1832572Ki,51401034n,1332152Ki,43070380n,1243528Ki,170883192n,1401628Ki,37357604n,1077568Ki,41924794n,1222036Ki,100676n,20172Ki
Sat Feb 11 12:05:06 2023,0.236894,,,,,,,,,,,,,,
Sat Feb 11 12:05:08 2023,0.298732,200369986n,1832572Ki,51401034n,1332152Ki,43070380n,1243528Ki,170883192n,1401628Ki,37357604n,1077568Ki,41924794n,1222036Ki,100676n,20172Ki
Sat Feb 11 12:05:10 2023,0.390821,,,,,,,,,,,,,,
Sat Feb 11 12:05:12 2023,0.324002,200369986n,1832572Ki,51401034n,1332152Ki,43070380n,1243528Ki,170883192n,1401628Ki,37357604n,1077568Ki,41924794n,1222036Ki,100676n,20172Ki
Sat Feb 11 12:05:14 2023,0.29274,,,,,,,,,,,,,,
Sat Feb 11 12:05:16 2023,0.375058,221548994n,1836484Ki,40298332n,1333004Ki,48726518n,1242588Ki,240413318n,1419524Ki,37508846n,1078612Ki,44132243n,1222000Ki,1893050n,20540Ki
Sat Feb 11 12:05:18 2023,0.383775,,,,,,,,,,,,,,
Sat Feb 11 12:05:20 2023,0.274596,221548994n,1836484Ki,40298332n,1333004Ki,48726518n,1242588Ki,240413318n,1419524Ki,37508846n,1078612Ki,44132243n,1222000Ki,1893050n,20540Ki
Sat Feb 11 12:05:22 2023,0.356978,,,,,,,,,,,,,,
Sat Feb 11 12:05:24 2023,0.383834,221548994n,1836484Ki,40298332n,1333004Ki,48726518n,1242588Ki,240413318n,1419524Ki,37508846n,1078612Ki,44132243n,1222000Ki,1893050n,20540Ki
Sat Feb 11 12:05:26 2023,0.408924,,,,,,,,,,,,,,
Sat Feb 11 12:05:28 2023,0.356207,208611679n,1832732Ki,41138442n,1333268Ki,44846472n,1242588Ki,210221945n,1420584Ki,36210754n,1077456Ki,52403552n,1223780Ki,1893050n,20540Ki
Sat Feb 11 12:05:30 2023,0.370861,,,,,,,,,,,,,,
Sat Feb 11 12:05:32 2023,0.354908,208611679n,1832732Ki,41138442n,1333268Ki,44846472n,1242588Ki,210221945n,1420584Ki,36210754n,1077456Ki,52403552n,1223780Ki,1893050n,20540Ki
Sat Feb 11 12:05:34 2023,0.420631,,,,,,,,,,,,,,
Sat Feb 11 12:05:36 2023,0.385392,208611679n,1832732Ki,41138442n,1333268Ki,44846472n,1242588Ki,210221945n,1420584Ki,36210754n,1077456Ki,52403552n,1223780Ki,1893050n,20540Ki
Sat Feb 11 12:05:38 2023,0.452542,,,,,,,,,,,,,,
Sat Feb 11 12:05:40 2023,0.3315,208611679n,1832732Ki,41138442n,1333268Ki,44846472n,1242588Ki,210221945n,1420584Ki,36210754n,1077456Ki,52403552n,1223780Ki,1893050n,20540Ki
