,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateless-6bbbb8cb9c-vv5v2_cpu,simple-stateless-6bbbb8cb9c-vv5v2_memory,simple-stateless-6bbbb8cb9c-jhwzg_cpu,simple-stateless-6bbbb8cb9c-jhwzg_memory
Sat Feb 11 01:55:32 2023,1.184903,177630899n,2083720Ki,41755931n,1288620Ki,38943663n,1238512Ki,160940591n,1441160Ki,34465797n,1024324Ki,48117327n,1179856Ki,0,17568Ki,,
Sat Feb 11 01:55:34 2023,1.226819,,,,,,,,,,,,,,,,
Sat Feb 11 01:55:36 2023,1.114898,177630899n,2083720Ki,41755931n,1288620Ki,38943663n,1238512Ki,160940591n,1441160Ki,34465797n,1024324Ki,48117327n,1179856Ki,0,17568Ki,,
Sat Feb 11 01:55:38 2023,1.167858,,,,,,,,,,,,,,,,
Sat Feb 11 01:55:40 2023,1.093944,177630899n,2083720Ki,41755931n,1288620Ki,38943663n,1238512Ki,160940591n,1441160Ki,34465797n,1024324Ki,48117327n,1179856Ki,0,17568Ki,,
Sat Feb 11 01:55:42 2023,1.501438,,,,,,,,,,,,,,,,
Sat Feb 11 01:55:44 2023,1.032865,194608998n,2083748Ki,38821562n,1288588Ki,45484496n,1238388Ki,202514153n,1441644Ki,32650949n,1024324Ki,44008356n,1179624Ki,802179n,17672Ki,,
Sat Feb 11 01:55:46 2023,1.056149,,,,,,,,,,,,,,,,
Sat Feb 11 01:55:48 2023,1.03294,194608998n,2083748Ki,38821562n,1288588Ki,45484496n,1238388Ki,202514153n,1441644Ki,32650949n,1024324Ki,44008356n,1179624Ki,802179n,17672Ki,,
Sat Feb 11 01:55:50 2023,1.291073,,,,,,,,,,,,,,,,
Sat Feb 11 01:55:52 2023,1.453866,194608998n,2083748Ki,38821562n,1288588Ki,45484496n,1238388Ki,202514153n,1441644Ki,32650949n,1024324Ki,44008356n,1179624Ki,802179n,17672Ki,,
Sat Feb 11 01:55:54 2023,1.020876,,,,,,,,,,,,,,,,
Sat Feb 11 01:55:56 2023,1.011835,194608998n,2083748Ki,38821562n,1288588Ki,45484496n,1238388Ki,202514153n,1441644Ki,32650949n,1024324Ki,44008356n,1179624Ki,802179n,17672Ki,,
Sat Feb 11 01:55:58 2023,1.363812,,,,,,,,,,,,,,,,
Sat Feb 11 01:56:00 2023,1.196224,219495060n,2084252Ki,37063770n,1288852Ki,39726178n,1238388Ki,201791596n,1441228Ki,36282312n,1024348Ki,38704689n,1179756Ki,1519161n,18072Ki,,
Sat Feb 11 01:56:02 2023,1.260705,,,,,,,,,,,,,,,,
Sat Feb 11 01:56:04 2023,1.084122,219495060n,2084252Ki,37063770n,1288852Ki,39726178n,1238388Ki,201791596n,1441228Ki,36282312n,1024348Ki,38704689n,1179756Ki,1519161n,18072Ki,,
Sat Feb 11 01:56:06 2023,1.173316,,,,,,,,,,,,,,,,
Sat Feb 11 01:56:08 2023,1.001945,219495060n,2084252Ki,37063770n,1288852Ki,39726178n,1238388Ki,201791596n,1441228Ki,36282312n,1024348Ki,38704689n,1179756Ki,1519161n,18072Ki,,
Sat Feb 11 01:56:10 2023,1.283263,,,,,,,,,,,,,,,,
