,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateless-6bbbb8cb9c-pjkfr_cpu,simple-stateless-6bbbb8cb9c-pjkfr_memory,simple-stateless-6bbbb8cb9c-tmvqq_cpu,simple-stateless-6bbbb8cb9c-tmvqq_memory
Sat Feb 11 02:02:53 2023,1.443888,180556151n,2085456Ki,38954440n,1287624Ki,52231950n,1238516Ki,193694719n,1437832Ki,56049457n,1024752Ki,45738070n,1180200Ki,0,16536Ki,,
Sat Feb 11 02:02:56 2023,1.096147,,,,,,,,,,,,,,,,
Sat Feb 11 02:02:58 2023,1.041281,169870167n,2085560Ki,39714564n,1287604Ki,41357126n,1238508Ki,178670423n,1438024Ki,36860095n,1024752Ki,49480455n,1180280Ki,0,16536Ki,,
Sat Feb 11 02:03:00 2023,1.381764,,,,,,,,,,,,,,,,
Sat Feb 11 02:03:02 2023,1.125615,169870167n,2085560Ki,39714564n,1287604Ki,41357126n,1238508Ki,178670423n,1438024Ki,36860095n,1024752Ki,49480455n,1180280Ki,0,16536Ki,,
Sat Feb 11 02:03:04 2023,1.164069,,,,,,,,,,,,,,,,
Sat Feb 11 02:03:06 2023,1.089377,169870167n,2085560Ki,39714564n,1287604Ki,41357126n,1238508Ki,178670423n,1438024Ki,36860095n,1024752Ki,49480455n,1180280Ki,0,16536Ki,,
Sat Feb 11 02:03:08 2023,0.93688,,,,,,,,,,,,,,,,
Sat Feb 11 02:03:10 2023,1.126261,169870167n,2085560Ki,39714564n,1287604Ki,41357126n,1238508Ki,178670423n,1438024Ki,36860095n,1024752Ki,49480455n,1180280Ki,0,16536Ki,,
Sat Feb 11 02:03:12 2023,1.235315,,,,,,,,,,,,,,,,
Sat Feb 11 02:03:14 2023,1.104874,216124465n,2085696Ki,39720213n,1288244Ki,45858284n,1238460Ki,229193606n,1438516Ki,39924399n,1025016Ki,51064691n,1179940Ki,3258616n,17380Ki,,
Sat Feb 11 02:03:16 2023,1.246643,,,,,,,,,,,,,,,,
Sat Feb 11 02:03:18 2023,1.343649,216124465n,2085696Ki,39720213n,1288244Ki,45858284n,1238460Ki,229193606n,1438516Ki,39924399n,1025016Ki,51064691n,1179940Ki,3258616n,17380Ki,,
Sat Feb 11 02:03:20 2023,1.046421,,,,,,,,,,,,,,,,
Sat Feb 11 02:03:22 2023,1.08672,216124465n,2085696Ki,39720213n,1288244Ki,45858284n,1238460Ki,229193606n,1438516Ki,39924399n,1025016Ki,51064691n,1179940Ki,3258616n,17380Ki,,
Sat Feb 11 02:03:24 2023,1.074364,,,,,,,,,,,,,,,,
Sat Feb 11 02:03:26 2023,1.103093,216124465n,2085696Ki,39720213n,1288244Ki,45858284n,1238460Ki,229193606n,1438516Ki,39924399n,1025016Ki,51064691n,1179940Ki,3258616n,17380Ki,,
Sat Feb 11 02:03:28 2023,1.480397,,,,,,,,,,,,,,,,
