,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateless-6bbbb8cb9c-qhclt_cpu,simple-stateless-6bbbb8cb9c-qhclt_memory,simple-stateless-6bbbb8cb9c-8lmzx_cpu,simple-stateless-6bbbb8cb9c-8lmzx_memory
Sat Feb 11 02:08:54 2023,1.337107,170486380n,2087828Ki,35038899n,1287244Ki,43773009n,1239212Ki,175977361n,1439316Ki,54345513n,1025644Ki,43893205n,1180928Ki,0,16088Ki,,
Sat Feb 11 02:08:56 2023,1.325969,,,,,,,,,,,,,,,,
Sat Feb 11 02:08:58 2023,1.60862,171761356n,2087092Ki,40504617n,1287328Ki,39011605n,1239080Ki,178594386n,1440076Ki,43210746n,1025648Ki,41397448n,1180928Ki,0,16088Ki,,
Sat Feb 11 02:09:02 2023,1.099526,,,,,,,,,,,,,,,,
Sat Feb 11 02:09:04 2023,1.288443,171761356n,2087092Ki,40504617n,1287328Ki,39011605n,1239080Ki,178594386n,1440076Ki,43210746n,1025648Ki,41397448n,1180928Ki,0,16088Ki,,
Sat Feb 11 02:09:06 2023,1.172927,,,,,,,,,,,,,,,,
Sat Feb 11 02:09:08 2023,1.183368,171761356n,2087092Ki,40504617n,1287328Ki,39011605n,1239080Ki,178594386n,1440076Ki,43210746n,1025648Ki,41397448n,1180928Ki,0,16088Ki,,
Sat Feb 11 02:09:10 2023,1.021199,,,,,,,,,,,,,,,,
Sat Feb 11 02:09:12 2023,1.118875,171761356n,2087092Ki,40504617n,1287328Ki,39011605n,1239080Ki,178594386n,1440076Ki,43210746n,1025648Ki,41397448n,1180928Ki,0,16088Ki,,
Sat Feb 11 02:09:14 2023,0.95785,,,,,,,,,,,,,,,,
Sat Feb 11 02:09:16 2023,1.355791,207014843n,2087700Ki,39768353n,1287764Ki,44045967n,1239056Ki,195901354n,1440444Ki,35190096n,1025652Ki,53594424n,1180808Ki,1582792n,16592Ki,,
Sat Feb 11 02:09:18 2023,0.968125,,,,,,,,,,,,,,,,
Sat Feb 11 02:09:20 2023,1.260345,207014843n,2087700Ki,39768353n,1287764Ki,44045967n,1239056Ki,195901354n,1440444Ki,35190096n,1025652Ki,53594424n,1180808Ki,1582792n,16592Ki,,
Sat Feb 11 02:09:22 2023,1.313062,,,,,,,,,,,,,,,,
Sat Feb 11 02:09:24 2023,1.388362,207014843n,2087700Ki,39768353n,1287764Ki,44045967n,1239056Ki,195901354n,1440444Ki,35190096n,1025652Ki,53594424n,1180808Ki,1582792n,16592Ki,,
Sat Feb 11 02:09:26 2023,1.22581,,,,,,,,,,,,,,,,
