,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateless-6bbbb8cb9c-vv5v2_cpu,simple-stateless-6bbbb8cb9c-vv5v2_memory
Sat Feb 11 01:52:31 2023,0.98615,197516343n,2078156Ki,43655837n,1287416Ki,62607416n,1238492Ki,167730455n,1440644Ki,34797514n,1024580Ki,47791692n,1179680Ki,122935n,16712Ki
Sat Feb 11 01:52:34 2023,1.225121,,,,,,,,,,,,,,
Sat Feb 11 01:52:36 2023,1.037165,197516343n,2078156Ki,43655837n,1287416Ki,62607416n,1238492Ki,167730455n,1440644Ki,34797514n,1024580Ki,47791692n,1179680Ki,122935n,16712Ki
Sat Feb 11 01:52:38 2023,1.27672,,,,,,,,,,,,,,
Sat Feb 11 01:52:40 2023,1.037939,197516343n,2078156Ki,43655837n,1287416Ki,62607416n,1238492Ki,167730455n,1440644Ki,34797514n,1024580Ki,47791692n,1179680Ki,122935n,16712Ki
Sat Feb 11 01:52:42 2023,0.9883,,,,,,,,,,,,,,
Sat Feb 11 01:52:44 2023,0.875308,189364019n,2078148Ki,44263783n,1287460Ki,55853446n,1238936Ki,199565148n,1440944Ki,36849060n,1024528Ki,45609454n,1179676Ki,1219687n,16944Ki
Sat Feb 11 01:52:46 2023,1.003962,,,,,,,,,,,,,,
Sat Feb 11 01:52:48 2023,0.996818,189364019n,2078148Ki,44263783n,1287460Ki,55853446n,1238936Ki,199565148n,1440944Ki,36849060n,1024528Ki,45609454n,1179676Ki,1219687n,16944Ki
Sat Feb 11 01:52:50 2023,1.084152,,,,,,,,,,,,,,
Sat Feb 11 01:52:52 2023,1.541633,189364019n,2078148Ki,44263783n,1287460Ki,55853446n,1238936Ki,199565148n,1440944Ki,36849060n,1024528Ki,45609454n,1179676Ki,1219687n,16944Ki
Sat Feb 11 01:52:54 2023,1.123839,,,,,,,,,,,,,,
Sat Feb 11 01:52:56 2023,1.312375,189364019n,2078148Ki,44263783n,1287460Ki,55853446n,1238936Ki,199565148n,1440944Ki,36849060n,1024528Ki,45609454n,1179676Ki,1219687n,16944Ki
Sat Feb 11 01:52:58 2023,0.966583,,,,,,,,,,,,,,
Sat Feb 11 01:53:00 2023,1.196835,202129883n,2083836Ki,41323002n,1287672Ki,46982931n,1238560Ki,198553931n,1441204Ki,34792550n,1024528Ki,47742413n,1179800Ki,2495254n,17316Ki
Sat Feb 11 01:53:02 2023,1.194064,,,,,,,,,,,,,,
Sat Feb 11 01:53:04 2023,1.128259,202129883n,2083836Ki,41323002n,1287672Ki,46982931n,1238560Ki,198553931n,1441204Ki,34792550n,1024528Ki,47742413n,1179800Ki,2495254n,17316Ki
Sat Feb 11 01:53:06 2023,1.099304,,,,,,,,,,,,,,
Sat Feb 11 01:53:08 2023,1.275483,202129883n,2083836Ki,41323002n,1287672Ki,46982931n,1238560Ki,198553931n,1441204Ki,34792550n,1024528Ki,47742413n,1179800Ki,2495254n,17316Ki
Sat Feb 11 01:53:10 2023,1.04026,,,,,,,,,,,,,,
Sat Feb 11 01:53:12 2023,1.311001,202129883n,2083836Ki,41323002n,1287672Ki,46982931n,1238560Ki,198553931n,1441204Ki,34792550n,1024528Ki,47742413n,1179800Ki,2495254n,17316Ki
Sat Feb 11 01:53:14 2023,1.068593,,,,,,,,,,,,,,
Sat Feb 11 01:53:16 2023,1.442884,220960860n,2079308Ki,39656831n,1288200Ki,55863662n,1238448Ki,206720536n,1441160Ki,34480601n,1024528Ki,43623113n,1179876Ki,2206779n,17676Ki
Sat Feb 11 01:53:18 2023,1.039202,,,,,,,,,,,,,,
Sat Feb 11 01:53:20 2023,1.109115,220960860n,2079308Ki,39656831n,1288200Ki,55863662n,1238448Ki,206720536n,1441160Ki,34480601n,1024528Ki,43623113n,1179876Ki,2206779n,17676Ki
Sat Feb 11 01:53:22 2023,1.085967,,,,,,,,,,,,,,
Sat Feb 11 01:53:24 2023,1.118002,220960860n,2079308Ki,39656831n,1288200Ki,55863662n,1238448Ki,206720536n,1441160Ki,34480601n,1024528Ki,43623113n,1179876Ki,2206779n,17676Ki
