,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateful-set2-0_cpu,simple-stateful-set2-0_memory,simple-stateful-set2-1_cpu,simple-stateful-set2-1_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory
Sat Feb 11 00:44:34 2023,0.76101,193506582n,2068776Ki,42214260n,1270508Ki,48152414n,1234220Ki,161400485n,1433668Ki,39067400n,1031740Ki,48436376n,1175284Ki,39949n,3292Ki,84621n,3280Ki,0,18376Ki
Sat Feb 11 00:44:36 2023,0.753601,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:44:38 2023,0.762345,193506582n,2068776Ki,42214260n,1270508Ki,48152414n,1234220Ki,161400485n,1433668Ki,39067400n,1031740Ki,48436376n,1175284Ki,39949n,3292Ki,84621n,3280Ki,0,18376Ki
Sat Feb 11 00:44:40 2023,0.697729,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:44:42 2023,0.659852,193506582n,2068776Ki,42214260n,1270508Ki,48152414n,1234220Ki,161400485n,1433668Ki,39067400n,1031740Ki,48436376n,1175284Ki,39949n,3292Ki,84621n,3280Ki,0,18376Ki
Sat Feb 11 00:44:44 2023,0.690289,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:44:46 2023,0.711892,276286166n,2069688Ki,96084198n,1274152Ki,130661807n,1238104Ki,259853407n,1437156Ki,104393515n,1035424Ki,120371490n,1178860Ki,123634n,3292Ki,14121n,3280Ki,0,18376Ki
Sat Feb 11 00:44:48 2023,0.81687,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:44:50 2023,0.755178,276286166n,2069688Ki,96084198n,1274152Ki,130661807n,1238104Ki,259853407n,1437156Ki,104393515n,1035424Ki,120371490n,1178860Ki,123634n,3292Ki,14121n,3280Ki,0,18376Ki
Sat Feb 11 00:44:52 2023,0.710954,,,,,,,,,,,,,,,,,,
