,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateful-set2-0_cpu,simple-stateful-set2-0_memory,simple-stateful-set2-1_cpu,simple-stateful-set2-1_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory
Sat Feb 11 00:41:22 2023,0.598655,164736319n,2065636Ki,35048555n,1270048Ki,48191079n,1234164Ki,172373013n,1440740Ki,41051531n,1032240Ki,43382868n,1175692Ki,62432n,3276Ki,47044n,3272Ki,0,18376Ki
Sat Feb 11 00:41:24 2023,0.489904,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:41:26 2023,0.510854,164736319n,2065636Ki,35048555n,1270048Ki,48191079n,1234164Ki,172373013n,1440740Ki,41051531n,1032240Ki,43382868n,1175692Ki,62432n,3276Ki,47044n,3272Ki,0,18376Ki
Sat Feb 11 00:41:28 2023,0.675898,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:41:30 2023,0.522279,198041996n,2066832Ki,42141019n,1270048Ki,47500420n,1234320Ki,165217126n,1440712Ki,40645200n,1031592Ki,46568091n,1176088Ki,65652n,3276Ki,0,3272Ki,0,18376Ki
Sat Feb 11 00:41:32 2023,0.619025,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:41:34 2023,0.542752,198041996n,2066832Ki,42141019n,1270048Ki,47500420n,1234320Ki,165217126n,1440712Ki,40645200n,1031592Ki,46568091n,1176088Ki,65652n,3276Ki,0,3272Ki,0,18376Ki
Sat Feb 11 00:41:36 2023,0.595906,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:41:38 2023,0.602437,198041996n,2066832Ki,42141019n,1270048Ki,47500420n,1234320Ki,165217126n,1440712Ki,40645200n,1031592Ki,46568091n,1176088Ki,65652n,3276Ki,0,3272Ki,0,18376Ki
Sat Feb 11 00:41:40 2023,0.568269,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:41:42 2023,0.505207,198041996n,2066832Ki,42141019n,1270048Ki,47500420n,1234320Ki,165217126n,1440712Ki,40645200n,1031592Ki,46568091n,1176088Ki,65652n,3276Ki,0,3272Ki,0,18376Ki
Sat Feb 11 00:41:44 2023,0.494965,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:41:46 2023,0.56987,204028645n,2066340Ki,33875850n,1270048Ki,52848533n,1234192Ki,221973213n,1432832Ki,32876382n,1031592Ki,45679532n,1176088Ki,65652n,3276Ki,93200n,3272Ki,0,18376Ki
Sat Feb 11 00:41:48 2023,0.520297,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:41:50 2023,0.626724,204028645n,2066340Ki,33875850n,1270048Ki,52848533n,1234192Ki,221973213n,1432832Ki,32876382n,1031592Ki,45679532n,1176088Ki,65652n,3276Ki,93200n,3272Ki,0,18376Ki
Sat Feb 11 00:41:52 2023,0.858851,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:41:54 2023,0.523484,204028645n,2066340Ki,33875850n,1270048Ki,52848533n,1234192Ki,221973213n,1432832Ki,32876382n,1031592Ki,45679532n,1176088Ki,65652n,3276Ki,93200n,3272Ki,0,18376Ki
Sat Feb 11 00:41:56 2023,0.500091,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:41:58 2023,0.517903,204028645n,2066340Ki,33875850n,1270048Ki,52848533n,1234192Ki,213662767n,1444272Ki,36184485n,1031592Ki,45232352n,1175376Ki,141453n,3276Ki,93200n,3272Ki,0,18376Ki
Sat Feb 11 00:42:00 2023,0.601028,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:42:02 2023,0.49299,210958895n,2066408Ki,36552417n,1270176Ki,43688267n,1234148Ki,213662767n,1444272Ki,36184485n,1031592Ki,45232352n,1175376Ki,141453n,3276Ki,93200n,3272Ki,0,18376Ki
Sat Feb 11 00:42:04 2023,0.617146,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:42:06 2023,0.503717,210958895n,2066408Ki,36552417n,1270176Ki,43688267n,1234148Ki,213662767n,1444272Ki,36184485n,1031592Ki,45232352n,1175376Ki,141453n,3276Ki,93200n,3272Ki,0,18376Ki
Sat Feb 11 00:42:08 2023,0.597107,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:42:10 2023,0.870162,210958895n,2066408Ki,36552417n,1270176Ki,43688267n,1234148Ki,213662767n,1444272Ki,36184485n,1031592Ki,45232352n,1175376Ki,141453n,3276Ki,93200n,3272Ki,0,18376Ki
Sat Feb 11 00:42:12 2023,0.634293,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:42:14 2023,0.657933,222730042n,2066216Ki,36181526n,1270176Ki,48402572n,1234100Ki,207640642n,1432868Ki,38925420n,1031856Ki,49773633n,1175372Ki,126755n,3404Ki,34057n,3272Ki,0,18376Ki
Sat Feb 11 00:42:16 2023,0.545437,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:42:18 2023,0.553408,222730042n,2066216Ki,36181526n,1270176Ki,48402572n,1234100Ki,207640642n,1432868Ki,38925420n,1031856Ki,49773633n,1175372Ki,126755n,3404Ki,34057n,3272Ki,0,18376Ki
