,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateful-set-0_cpu,simple-stateful-set-0_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory
Fri Feb 10 20:52:32 2023,1.167599,168799029n,1631652Ki,41079659n,1263240Ki,41422128n,1167940Ki,164960703n,1426500Ki,33539462n,1026168Ki,44099862n,1169364Ki,0,3420Ki,0,18376Ki
Fri Feb 10 20:52:35 2023,1.390166,,,,,,,,,,,,,,,,
Fri Feb 10 20:52:37 2023,1.027362,,,,,,,,,,,,,,,,
Fri Feb 10 20:52:39 2023,1.291547,,,,,,,,,,,,,,,,
Fri Feb 10 20:52:41 2023,1.172167,,,,,,,,,,,,,,,,
Fri Feb 10 20:52:43 2023,0.968752,185509752n,1593Mi,33051625n,1263240Ki,38514514n,1167944Ki,189497097n,1426844Ki,36305077n,1026432Ki,38222857n,1169364Ki,0,3420Ki,0,18376Ki
Fri Feb 10 20:52:45 2023,0.825978,,,,,,,,,,,,,,,,
Fri Feb 10 20:52:46 2023,0.951897,,,,,,,,,,,,,,,,
Fri Feb 10 20:52:47 2023,0.950099,,,,,,,,,,,,,,,,
Fri Feb 10 20:52:48 2023,0.777747,,,,,,,,,,,,,,,,
Fri Feb 10 20:52:49 2023,1.283097,185509752n,1593Mi,33051625n,1263240Ki,38514514n,1167944Ki,189497097n,1426844Ki,36305077n,1026432Ki,38222857n,1169364Ki,0,3420Ki,0,18376Ki
Fri Feb 10 20:52:51 2023,1.038102,,,,,,,,,,,,,,,,
Fri Feb 10 20:52:53 2023,0.86354,,,,,,,,,,,,,,,,
Fri Feb 10 20:52:54 2023,0.923163,,,,,,,,,,,,,,,,
Fri Feb 10 20:52:55 2023,1.138097,,,,,,,,,,,,,,,,
Fri Feb 10 20:52:57 2023,1.352269,185509752n,1593Mi,33051625n,1263240Ki,38514514n,1167944Ki,189497097n,1426844Ki,36305077n,1026432Ki,38222857n,1169364Ki,0,3420Ki,0,18376Ki
Fri Feb 10 20:52:59 2023,0.926995,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:00 2023,0.986389,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:02 2023,1.013353,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:04 2023,1.098469,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:06 2023,,192947850n,1631408Ki,41002286n,1263200Ki,46577856n,1168268Ki,204513585n,1427900Ki,42664155n,1026456Ki,45370033n,1169164Ki,332184n,3420Ki,0,18376Ki
Fri Feb 10 20:53:07 2023,,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:08 2023,,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:09 2023,,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:10 2023,,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:11 2023,,192947850n,1631408Ki,41002286n,1263200Ki,46577856n,1168268Ki,204513585n,1427900Ki,42664155n,1026456Ki,45370033n,1169164Ki,,,0,18376Ki
Fri Feb 10 20:53:13 2023,,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:14 2023,,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:15 2023,,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:16 2023,,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:17 2023,,238004189n,1632324Ki,39422748n,1263200Ki,46356519n,1168256Ki,202187352n,1427596Ki,39457080n,1026456Ki,44097951n,1169296Ki,,,0,18376Ki
Fri Feb 10 20:53:19 2023,1.252695,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:21 2023,0.979193,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:22 2023,1.005863,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:24 2023,1.190849,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:26 2023,1.056447,238004189n,1632324Ki,39422748n,1263200Ki,46356519n,1168256Ki,202187352n,1427596Ki,39457080n,1026456Ki,44097951n,1169296Ki,,,0,18376Ki
Fri Feb 10 20:53:28 2023,1.18365,,,,,,,,,,,,,,,,
Fri Feb 10 20:53:30 2023,1.045767,,,,,,,,,,,,,,,,
