,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateful-set-0_cpu,simple-stateful-set-0_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory
Sat Feb 11 00:55:01 2023,0.956058,173294374n,2074188Ki,50318672n,1271436Ki,47177247n,1231536Ki,170613491n,1433944Ki,42203106n,1039148Ki,41397874n,1176252Ki,0,3244Ki,0,18376Ki
Sat Feb 11 00:55:04 2023,0.967748,,,,,,,,,,,,,,,,
Sat Feb 11 00:55:06 2023,1.119266,173294374n,2074188Ki,50318672n,1271436Ki,47177247n,1231536Ki,170613491n,1433944Ki,42203106n,1039148Ki,41397874n,1176252Ki,0,3244Ki,0,18376Ki
Sat Feb 11 00:55:08 2023,0.994185,,,,,,,,,,,,,,,,
Sat Feb 11 00:55:10 2023,1.00122,173294374n,2074188Ki,50318672n,1271436Ki,47177247n,1231536Ki,170613491n,1433944Ki,42203106n,1039148Ki,41397874n,1176252Ki,0,3244Ki,0,18376Ki
Sat Feb 11 00:55:12 2023,1.027862,,,,,,,,,,,,,,,,
Sat Feb 11 00:55:14 2023,1.356193,206543977n,2074936Ki,35567095n,1271340Ki,42302362n,1231532Ki,188485717n,1434076Ki,42123415n,1039272Ki,47184123n,1176408Ki,130290n,3292Ki,0,18376Ki
Sat Feb 11 00:55:16 2023,1.060186,,,,,,,,,,,,,,,,
Sat Feb 11 00:55:18 2023,1.06142,206543977n,2074936Ki,35567095n,1271340Ki,42302362n,1231532Ki,188485717n,1434076Ki,42123415n,1039272Ki,47184123n,1176408Ki,130290n,3292Ki,0,18376Ki
Sat Feb 11 00:55:20 2023,1.13333,,,,,,,,,,,,,,,,
Sat Feb 11 00:55:22 2023,0.98626,206543977n,2074936Ki,35567095n,1271340Ki,42302362n,1231532Ki,188485717n,1434076Ki,42123415n,1039272Ki,47184123n,1176408Ki,130290n,3292Ki,0,18376Ki
Sat Feb 11 00:55:24 2023,1.488671,,,,,,,,,,,,,,,,
Sat Feb 11 00:55:26 2023,1.33472,206543977n,2074936Ki,35567095n,1271340Ki,42302362n,1231532Ki,188485717n,1434076Ki,42123415n,1039272Ki,47184123n,1176408Ki,130290n,3292Ki,0,18376Ki
Sat Feb 11 00:55:28 2023,1.089043,,,,,,,,,,,,,,,,
Sat Feb 11 00:55:30 2023,1.256591,202093657n,2075328Ki,37197560n,1271360Ki,49041834n,1231532Ki,213743687n,1434876Ki,38521990n,1039156Ki,47401813n,1176488Ki,243111n,3300Ki,0,18376Ki
Sat Feb 11 00:55:32 2023,1.022977,,,,,,,,,,,,,,,,
