,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateless-6bbbb8cb9c-s2tzw_cpu,simple-stateless-6bbbb8cb9c-s2tzw_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory,simple-stateless-6db7cbf887-7gmc8_cpu,simple-stateless-6db7cbf887-7gmc8_memory
Fri Feb 10 17:39:26 2023,0.220872,267671284n,2013724Ki,36568163n,1252228Ki,40653566n,1255868Ki,175904225n,1423084Ki,37722884n,1020780Ki,42939317n,1154608Ki,326485n,17500Ki,0,18076Ki,,
Fri Feb 10 17:39:28 2023,0.216777,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:29 2023,0.371908,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:30 2023,0.24046,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:31 2023,0.264074,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:32 2023,0.39028,282287225n,2013924Ki,38776683n,1252220Ki,43406153n,1255732Ki,173795516n,1423252Ki,41977430n,1020872Ki,48055864n,1154512Ki,85135n,17504Ki,0,18076Ki,,
Fri Feb 10 17:39:33 2023,0.282156,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:34 2023,0.274473,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:35 2023,0.374562,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:36 2023,0.342503,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:37 2023,0.312992,282287225n,2013924Ki,38776683n,1252220Ki,43406153n,1255732Ki,173795516n,1423252Ki,41977430n,1020872Ki,48055864n,1154512Ki,85135n,17504Ki,0,18076Ki,,
Fri Feb 10 17:39:38 2023,0.31323,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:39 2023,0.322762,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:40 2023,0.320175,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:41 2023,0.297001,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:42 2023,0.344087,282287225n,2013924Ki,38776683n,1252220Ki,43406153n,1255732Ki,173795516n,1423252Ki,41977430n,1020872Ki,48055864n,1154512Ki,85135n,17504Ki,0,18076Ki,,
Fri Feb 10 17:39:43 2023,0.411816,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:44 2023,0.358054,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:45 2023,0.417058,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:46 2023,0.492071,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:47 2023,0.423086,293256478n,2014624Ki,38351288n,1252748Ki,41603941n,1255332Ki,217753100n,1423872Ki,34556495n,1020884Ki,41214286n,1154644Ki,3172284n,18084Ki,0,18076Ki,,
Fri Feb 10 17:39:48 2023,0.504007,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:49 2023,0.409359,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:50 2023,0.441084,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:51 2023,0.55728,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:52 2023,0.559615,293256478n,2014624Ki,38351288n,1252748Ki,41603941n,1255332Ki,217753100n,1423872Ki,34556495n,1020884Ki,41214286n,1154644Ki,3172284n,18084Ki,0,18076Ki,,
Fri Feb 10 17:39:53 2023,0.47124,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:54 2023,1.137086,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:56 2023,0.539953,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:57 2023,0.542666,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:39:58 2023,0.50449,293256478n,2014624Ki,38351288n,1252748Ki,41603941n,1255332Ki,217753100n,1423872Ki,34556495n,1020884Ki,41214286n,1154644Ki,3172284n,18084Ki,0,18076Ki,,
Fri Feb 10 17:39:59 2023,0.665926,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:00 2023,0.455576,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:01 2023,0.531605,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:02 2023,0.574711,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:03 2023,0.821898,309021794n,2015052Ki,42702405n,1252396Ki,44460009n,1255332Ki,206865162n,1426032Ki,33843245n,1020880Ki,43314327n,1154644Ki,3376194n,17956Ki,0,18076Ki,,
Fri Feb 10 17:40:05 2023,0.581699,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:06 2023,0.550311,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:07 2023,0.812019,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:08 2023,0.63904,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:09 2023,0.614914,309021794n,2015052Ki,42702405n,1252396Ki,44460009n,1255332Ki,206865162n,1426032Ki,33843245n,1020880Ki,43314327n,1154644Ki,3376194n,17956Ki,0,18076Ki,,
Fri Feb 10 17:40:11 2023,0.725118,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:12 2023,0.544153,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:13 2023,0.75551,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:14 2023,0.563587,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:15 2023,0.565402,339033739n,2010132Ki,83315795n,1268876Ki,46316084n,1255404Ki,204783291n,1420972Ki,38836182n,1021664Ki,43456848n,1154644Ki,853978n,17976Ki,0,18076Ki,19257209n,16204Ki
Fri Feb 10 17:40:17 2023,0.716222,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:18 2023,0.621343,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:19 2023,0.663537,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:20 2023,0.630106,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:21 2023,0.563415,339033739n,2010132Ki,83315795n,1268876Ki,46316084n,1255404Ki,204783291n,1420972Ki,38836182n,1021664Ki,43456848n,1154644Ki,853978n,17976Ki,0,18076Ki,19257209n,16204Ki
Fri Feb 10 17:40:23 2023,0.805157,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:24 2023,0.58012,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:25 2023,1.195061,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:27 2023,0.812733,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:28 2023,0.670515,339033739n,2010132Ki,83315795n,1268876Ki,46316084n,1255404Ki,190517677n,1420984Ki,41544449n,1021612Ki,54119242n,1154564Ki,,,0,18076Ki,2865357n,16676Ki
Fri Feb 10 17:40:30 2023,0.745917,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:31 2023,0.482501,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:32 2023,0.976458,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:33 2023,0.825738,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:34 2023,1.026652,289273958n,2010580Ki,41209458n,1270288Ki,45463524n,1255500Ki,190517677n,1420984Ki,41544449n,1021612Ki,54119242n,1154564Ki,,,0,18076Ki,2865357n,16676Ki
Fri Feb 10 17:40:36 2023,0.786459,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:37 2023,1.035789,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:39 2023,0.728355,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:40 2023,1.030272,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:42 2023,1.245276,289273958n,2010580Ki,41209458n,1270288Ki,45463524n,1255500Ki,190517677n,1420984Ki,41544449n,1021612Ki,54119242n,1154564Ki,,,0,18076Ki,2865357n,16676Ki
Fri Feb 10 17:40:44 2023,0.842384,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:45 2023,0.893615,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:46 2023,0.934077,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:47 2023,0.57733,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:48 2023,1.154164,289079696n,2010456Ki,56650459n,1252048Ki,37854668n,1255632Ki,193002300n,1420900Ki,38393109n,1020784Ki,43088426n,1154564Ki,,,0,18076Ki,2081618n,16896Ki
Fri Feb 10 17:40:50 2023,1.195443,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:52 2023,0.9674,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:53 2023,0.906827,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:54 2023,0.856375,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:55 2023,1.213692,289079696n,2010456Ki,56650459n,1252048Ki,37854668n,1255632Ki,193002300n,1420900Ki,38393109n,1020784Ki,43088426n,1154564Ki,,,0,18076Ki,2081618n,16896Ki
Fri Feb 10 17:40:57 2023,0.444634,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:58 2023,0.406533,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:40:59 2023,0.462329,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:41:00 2023,0.410369,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:41:01 2023,0.404445,315685876n,2010940Ki,35357541n,1251436Ki,46468374n,1255764Ki,193250968n,1419808Ki,44400115n,1020824Ki,44797132n,1154552Ki,,,0,18076Ki,2265656n,16528Ki
Fri Feb 10 17:41:02 2023,0.380901,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:41:03 2023,0.441741,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:41:04 2023,0.535789,,,,,,,,,,,,,,,,,,
Fri Feb 10 17:41:05 2023,0.439992,,,,,,,,,,,,,,,,,,
