,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateless-699b785b7f-rszbd_cpu,simple-stateless-699b785b7f-rszbd_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory,simple-stateless-55b56d99fb-mj2pv_cpu,simple-stateless-55b56d99fb-mj2pv_memory
Fri Feb 10 19:42:23 2023,0.215202,200073790n,2027220Ki,37746032n,1242612Ki,49379629n,1184232Ki,163626430n,1422420Ki,40819134n,1024136Ki,44757920n,1165756Ki,99560n,16768Ki,0,18076Ki,,
Fri Feb 10 19:42:25 2023,0.218429,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:26 2023,0.219673,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:27 2023,0.23413,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:28 2023,0.29413,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:29 2023,0.309487,257423260n,2028692Ki,39899854n,1242596Ki,46002802n,1184364Ki,160755936n,1422292Ki,40764878n,1024296Ki,48395363n,1165616Ki,597725n,16916Ki,0,18076Ki,,
Fri Feb 10 19:42:30 2023,0.299778,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:31 2023,0.255758,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:32 2023,0.420081,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:33 2023,0.399256,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:34 2023,0.386674,257423260n,2028692Ki,39899854n,1242596Ki,46002802n,1184364Ki,160755936n,1422292Ki,40764878n,1024296Ki,48395363n,1165616Ki,597725n,16916Ki,0,18076Ki,,
Fri Feb 10 19:42:35 2023,0.286551,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:36 2023,0.428883,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:37 2023,0.394567,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:38 2023,1.306124,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:40 2023,0.403659,257423260n,2028692Ki,39899854n,1242596Ki,46002802n,1184364Ki,160755936n,1422292Ki,40764878n,1024296Ki,48395363n,1165616Ki,597725n,16916Ki,0,18076Ki,,
Fri Feb 10 19:42:41 2023,0.353761,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:42 2023,0.303778,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:43 2023,0.502094,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:44 2023,0.406706,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:45 2023,0.425037,294068376n,2029752Ki,37524399n,1242556Ki,45971325n,1185276Ki,200640966n,1422072Ki,35349553n,1024428Ki,49790398n,1165832Ki,3970464n,17744Ki,0,18076Ki,,
Fri Feb 10 19:42:46 2023,0.477531,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:47 2023,0.40965,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:48 2023,0.437613,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:49 2023,0.498027,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:50 2023,0.55784,294068376n,2029752Ki,37524399n,1242556Ki,45971325n,1185276Ki,200640966n,1422072Ki,35349553n,1024428Ki,49790398n,1165832Ki,3970464n,17744Ki,0,18076Ki,,
Fri Feb 10 19:42:52 2023,0.478934,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:53 2023,0.448097,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:54 2023,0.401894,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:55 2023,0.464676,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:56 2023,0.614488,294068376n,2029752Ki,37524399n,1242556Ki,45971325n,1185276Ki,200640966n,1422072Ki,35349553n,1024428Ki,49790398n,1165832Ki,3970464n,17744Ki,0,18076Ki,,
Fri Feb 10 19:42:58 2023,0.488417,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:42:59 2023,0.505466,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:00 2023,0.495455,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:01 2023,0.62282,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:02 2023,0.508015,302261915n,2028988Ki,34326234n,1242556Ki,49043712n,1184752Ki,210371235n,1421052Ki,48506379n,1024420Ki,43367718n,1165632Ki,3970464n,17744Ki,0,18076Ki,,
Fri Feb 10 19:43:03 2023,0.44423,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:04 2023,0.757598,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:05 2023,0.481808,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:06 2023,0.702058,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:07 2023,0.558442,302261915n,2028988Ki,34326234n,1242556Ki,49043712n,1184752Ki,210371235n,1421052Ki,48506379n,1024420Ki,43367718n,1165632Ki,3970464n,17744Ki,0,18076Ki,,
Fri Feb 10 19:43:09 2023,0.639536,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:10 2023,0.451677,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:11 2023,0.637543,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:12 2023,0.494763,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:13 2023,0.651369,302261915n,2028988Ki,34326234n,1242556Ki,49043712n,1184752Ki,190610935n,1421668Ki,39835318n,1024572Ki,42607789n,1165764Ki,2816616n,17516Ki,0,18076Ki,,
Fri Feb 10 19:43:15 2023,0.612743,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:16 2023,0.704264,,,,,,,,,,,,,,,,,,
