,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateless-55b56d99fb-mj2pv_cpu,simple-stateless-55b56d99fb-mj2pv_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory
Fri Feb 10 20:21:48 2023,0.212352,175592560n,1672416Ki,37148865n,1261312Ki,39004524n,1168188Ki,170596389n,1421940Ki,34629106n,1025444Ki,42542021n,1168260Ki,1015225n,17504Ki,0,18076Ki
Fri Feb 10 20:21:49 2023,0.386589,,,,,,,,,,,,,,,,
Fri Feb 10 20:21:50 2023,0.375529,,,,,,,,,,,,,,,,
Fri Feb 10 20:21:51 2023,0.376172,,,,,,,,,,,,,,,,
Fri Feb 10 20:21:52 2023,0.269478,,,,,,,,,,,,,,,,
Fri Feb 10 20:21:53 2023,0.386799,175592560n,1672416Ki,37148865n,1261312Ki,39004524n,1168188Ki,170596389n,1421940Ki,34629106n,1025444Ki,42542021n,1168260Ki,1015225n,17504Ki,0,18076Ki
Fri Feb 10 20:21:54 2023,0.333401,,,,,,,,,,,,,,,,
Fri Feb 10 20:21:55 2023,0.267235,,,,,,,,,,,,,,,,
Fri Feb 10 20:21:56 2023,0.338327,,,,,,,,,,,,,,,,
Fri Feb 10 20:21:57 2023,0.258467,,,,,,,,,,,,,,,,
Fri Feb 10 20:21:58 2023,0.256312,175592560n,1672416Ki,37148865n,1261312Ki,39004524n,1168188Ki,170596389n,1421940Ki,34629106n,1025444Ki,42542021n,1168260Ki,1015225n,17504Ki,0,18076Ki
Fri Feb 10 20:21:59 2023,0.301629,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:00 2023,0.432644,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:01 2023,0.385619,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:02 2023,0.3131,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:03 2023,0.335089,196278850n,1672832Ki,40249196n,1262892Ki,45146643n,1167920Ki,194493726n,1421988Ki,39632055n,1025444Ki,47136311n,1168260Ki,249425n,17668Ki,0,18076Ki
Fri Feb 10 20:22:04 2023,0.391437,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:05 2023,0.376285,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:06 2023,0.44455,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:07 2023,0.486953,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:08 2023,0.553549,196278850n,1672832Ki,40249196n,1262892Ki,45146643n,1167920Ki,194493726n,1421988Ki,39632055n,1025444Ki,47136311n,1168260Ki,249425n,17668Ki,0,18076Ki
Fri Feb 10 20:22:10 2023,0.478507,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:11 2023,0.426565,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:12 2023,0.519653,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:13 2023,0.524543,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:14 2023,0.399133,237189657n,1672604Ki,42281278n,1261964Ki,43980954n,1167920Ki,198406727n,1423756Ki,36628159n,1025444Ki,46509562n,1168100Ki,2591123n,18212Ki,0,18076Ki
Fri Feb 10 20:22:15 2023,0.482753,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:16 2023,0.678732,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:17 2023,0.668696,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:18 2023,0.584237,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:19 2023,0.597294,237189657n,1672604Ki,42281278n,1261964Ki,43980954n,1167920Ki,198406727n,1423756Ki,36628159n,1025444Ki,46509562n,1168100Ki,2591123n,18212Ki,0,18076Ki
Fri Feb 10 20:22:21 2023,0.456476,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:22 2023,0.559825,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:23 2023,0.537358,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:24 2023,0.412829,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:25 2023,0.596041,237189657n,1672604Ki,42281278n,1261964Ki,43980954n,1167920Ki,198406727n,1423756Ki,36628159n,1025444Ki,46509562n,1168100Ki,2591123n,18212Ki,0,18076Ki
Fri Feb 10 20:22:27 2023,0.613987,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:28 2023,0.448268,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:29 2023,0.355234,,,,,,,,,,,,,,,,
